condition,directed_prompt_pair,repair_R
KV[INSTR]@all,0,-0.004097126905135774
KV[INSTR]@all,1,0.010667236636474484
KV[INSTR]@all,2,-0.013009778529761623
KV[INSTR]@all,3,0.01389804608985112
KV[INSTR]@all,4,0.03835334360752323
KV[INSTR]@all,5,0.010437008128643203
KO[INSTR],0,-0.005969742662534111
KO[INSTR],1,0.0025916870517748683
KO[INSTR],2,-0.014946971105591298
KO[INSTR],3,0.0016920428224465127
KO[INSTR],4,0.027043739060257976
KO[INSTR],5,-0.0015454014990219755
KV[IMG]@12-17,0,0.8500666250520081
KV[IMG]@12-17,1,1.0000402514015065
KV[IMG]@12-17,2,0.909672451732612
KV[IMG]@12-17,3,0.8141373846243168
KV[IMG]@12-17,4,0.6967367207948038
KV[IMG]@12-17,5,0.802271594475221
KV[IMG]@all,0,0.948259171825841
KV[IMG]@all,1,1.0253428422787523
KV[IMG]@all,2,0.9767748417604316
KV[IMG]@all,3,0.9794042148842049
KV[IMG]@all,4,0.916738994058548
KV[IMG]@all,5,0.9206888192339013
