cell,init,arm,n_pos,R,cell_median_R,pooled_descriptive_median_R
libero_goal_t0_vs_t6,0,LOC,4,0.0036047925173756817,0.003962454331750033,0.0016333555509041912
libero_goal_t0_vs_t6,0,RAND,4,0.13574505849071766,1.927134909299516e-05,0.00011898447711440095
libero_goal_t0_vs_t6,0,LOC,8,0.003939672374391446,0.004592687957804173,0.004266180166097809
libero_goal_t0_vs_t6,0,RAND,8,0.004723960861319683,0.001701988165911692,0.0011299765445429199
libero_goal_t0_vs_t6,0,LOC,16,0.007168006226680572,0.011192494027312504,0.005613640435539619
libero_goal_t0_vs_t6,0,RAND,16,0.0008486451207712754,0.0004012793054655744,0.0007504291551753025
libero_goal_t0_vs_t6,0,LOC,32,0.026350903943522342,0.024355085197633658,0.010097458406011315
libero_goal_t0_vs_t6,0,RAND,32,0.00431314722594062,0.00431314722594062,0.008974087541989327
libero_goal_t0_vs_t6,0,LOC,64,0.04179494154382283,0.04179494154382283,0.018408005189508227
libero_goal_t0_vs_t6,0,RAND,64,0.02349914548569089,0.009065719551991841,0.011327657846378257
libero_goal_t0_vs_t6,0,LOC,128,0.062354383423440095,0.057051702171139064,0.043358237285080065
libero_goal_t0_vs_t6,0,RAND,128,0.04666498756529073,0.04666498756529073,0.07885590549799881
libero_goal_t0_vs_t6,0,LOC,256,0.07213076639363172,0.072776356324284,0.08185923987198931
libero_goal_t0_vs_t6,0,RAND,256,0.3420813677572522,0.26958146809061884,0.18020413913340322
libero_goal_t0_vs_t6,0,LOC,512,0.8577126065834092,0.7808561998990912,0.7732458939775065
libero_goal_t0_vs_t6,0,RAND,512,0.8577126065834092,0.7808561998990912,0.7732458939775065
libero_goal_t0_vs_t6,1,LOC,4,0.007319898771679107,0.003962454331750033,0.0016333555509041912
libero_goal_t0_vs_t6,1,RAND,4,1.927134909299516e-05,1.927134909299516e-05,0.00011898447711440095
libero_goal_t0_vs_t6,1,LOC,8,0.008454301876689184,0.004592687957804173,0.004266180166097809
libero_goal_t0_vs_t6,1,RAND,8,0.001701988165911692,0.001701988165911692,0.0011299765445429199
libero_goal_t0_vs_t6,1,LOC,16,0.011192494027312504,0.011192494027312504,0.005613640435539619
libero_goal_t0_vs_t6,1,RAND,16,0.0004012793054655744,0.0004012793054655744,0.0007504291551753025
libero_goal_t0_vs_t6,1,LOC,32,0.017015566914697366,0.024355085197633658,0.010097458406011315
libero_goal_t0_vs_t6,1,RAND,32,0.004231359296245316,0.00431314722594062,0.008974087541989327
libero_goal_t0_vs_t6,1,LOC,64,0.044907646278069355,0.04179494154382283,0.018408005189508227
libero_goal_t0_vs_t6,1,RAND,64,0.00816115774087121,0.009065719551991841,0.011327657846378257
