layer,segment,accuracy,shuffled_null_95
0,INSTR,1.0,0.14966666666666667
1,INSTR,1.0,0.13366666666666666
2,INSTR,1.0,0.13199999999999995
3,INSTR,1.0,0.12833333333333333
4,INSTR,1.0,0.12966666666666665
5,INSTR,1.0,0.13766666666666666
6,INSTR,1.0,0.131
7,INSTR,1.0,0.131
8,INSTR,1.0,0.13533333333333333
9,INSTR,1.0,0.133
10,INSTR,1.0,0.13433333333333333
11,INSTR,1.0,0.13266666666666665
12,INSTR,1.0,0.12633333333333333
13,INSTR,1.0,0.11166666666666665
14,INSTR,1.0,0.1393333333333333
15,INSTR,1.0,0.12366666666666665
16,INSTR,1.0,0.11866666666666666
17,INSTR,0.9986666666666666,0.11666666666666667
0,IMG,0.11333333333333333,0.1
1,IMG,0.9926666666666666,0.13866666666666666
2,IMG,0.9966666666666667,0.121
3,IMG,1.0,0.13633333333333333
4,IMG,1.0,0.11733333333333332
5,IMG,1.0,0.1193333333333333
6,IMG,1.0,0.12399999999999999
7,IMG,1.0,0.12399999999999999
8,IMG,1.0,0.121
9,IMG,1.0,0.11766666666666667
10,IMG,1.0,0.132
11,IMG,1.0,0.12866666666666668
12,IMG,1.0,0.14866666666666667
13,IMG,1.0,0.14966666666666667
14,IMG,1.0,0.132
15,IMG,1.0,0.12766666666666668
16,IMG,1.0,0.132
17,IMG,1.0,0.12733333333333333
